ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,Year,ASC1_Measure_Rate,ASC1_Footnote,ASC2_Measure_Rate,ASC2_Footnote,ASC3_Measure_Rate,ASC3_Footnote,ASC4_Measure_Rate,ASC4_Footnote,ASC5_Measure_Rate,ASC5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC9_Footnote,ASC_10_rate,ASC10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date
Awh Holdings LLC,02C0001000,1033395603,Anchorage,AK,99508,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
"Alaska Spine Center, LLC",02C0001006,1093710717,Anchorage,AK,99508,2014,0.000,,3.831,,0.000,,0.000,,61.22,,01/01/2014,12/31/2014,Yes,,1676,0,0,59,0,0,0,1617,0,,01/01/2014,12/31/2014,62.50,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Alaska Surgery Center LTD,02C0001001,1205892197,Anchorage,AK,99508,2014,0.000,,0.000,,1.901,,1.901,,981.04,,01/01/2014,12/31/2014,Yes,,2796,47,487,1289,20,50,0,480,423,,01/01/2014,12/31/2014,52.38,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgery Center of Fairbanks LLC,02C0001012,1255652285,Fairbanks,AK,99709,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,956,570,0,208,4,20,0,154,0,,01/01/2014,12/31/2014,76.60,,2014/2015,64.29,,75.00,,01/01/2014,12/31/2014
"Alaska Spine Institute Surgery Center, LLC",02C0001008,1316942048,Anchorage,AK,99508,2014,0.000,,0.000,,0.000,,0.000,,942.15,,01/01/2014,12/31/2014,Yes,,3636,0,0,1000,9,0,0,2627,0,,01/01/2014,12/31/2014,59.38,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"South Anchorage Surgery Center, LLC",02C0001014,1336448968,Anchorage,AK,99507,2014,3.497,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,2079,0,0,395,0,0,0,1684,0,,01/01/2014,12/31/2014,64.29,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Alaska Heart Institute LLC,02C0001016,1477891364,Anchorage,AK,99508,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,,N/A (5),,,,,,,,,,N/A (5),01/01/2014,12/31/2014,94.12,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Alaska Digestive Center, LLC",02C0001007,1508835299,Anchorage,AK,99508,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,3369,3369,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,89.29,,2014/2015,97.16,,98.80,,01/01/2014,12/31/2014
Pacific Cataract and Laser Institute of Alaska Inc PC,02C0001004,1548213077,Anchorage,AK,99501,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,2042,0,2042,0,0,0,0,0,0,,01/01/2014,12/31/2014,55.56,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Alaska Native Tribal Health Consortium,,1558570648,Anchorage,AK,99508,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
"Surgery Center of Wasilla, LLC",02C0001015,1649534843,Wasilla,AK,99654,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1164,0,0,0,0,0,0,1164,0,,01/01/2014,12/31/2014,0.00,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Geneva Woods Surgical Center Inc,02C0001002,1699875450,Anchorage,AK,99508,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Creekside Surgical Center,02C0001011,1710207998,Anchorage,AK,99508,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,2338,0,45,1339,65,0,0,535,354,,01/01/2014,12/31/2014,63.37,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
"Anchorage Endoscopy Center, LLC",02C0001005,1770605214,Anchorage,AK,99508,2014,0.000,,1.623,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,3467,3467,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,54.17,,2014/2015,99.03,,96.15,,01/01/2014,12/31/2014
Juneau Spine and Pain Center LLC,02C0001010,1821327560,Juneau,AK,99801,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
"Alaska Eye Surgery and Laser Center, Inc.",02C0001013,1912202896,Anchorage,AK,99501,2014,8.475,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
Dothan Surgery Center,01C0001039,1003815242,Dothan,AL,36301,2014,0.000,,0.000,,0.000,,0.716,,972.63,,01/01/2014,12/31/2014,Yes,,14010,10605,845,1531,210,0,0,362,457,,01/01/2014,12/31/2014,61.74,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
South Alabama Outpatient Services,01C0001037,1013924133,Enterprise,AL,36330,2014,0.000,,0.000,,0.000,,0.704,,1000.0,,01/01/2014,12/31/2014,Yes,,3389,325,314,504,15,0,0,2158,73,,01/01/2014,12/31/2014,25.00,,2014/2015,100.0,,28.71,,01/01/2014,12/31/2014
The Kirklin Clinic,01C0001023,1124213376,Birmingham,AL,35233,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,,,,,,,,,,,,,,,,,,,,,,,
"North River Surgical Center, LLC",01C0001029,1215926993,Tuscaloosa,AL,35406,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,5247,5195,0,52,0,0,0,0,0,,01/01/2014,12/31/2014,67.57,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
Huntsville Endoscopy Center,01C0001025,1235178005,Huntsville,AL,35801,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,4392,4392,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,27.78,,2014/2015,75.00,,65.96,,01/01/2014,12/31/2014
"Eye Surgery Center of North Alabama, Inc.",01C0001050,1265657258,Huntsville,AL,35801,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,3681,0,3681,0,0,0,0,0,0,,01/01/2014,12/31/2014,77.78,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Tuscaloosa Endoscopy Center,01C0001024,1275725673,Tuscaloosa,AL,35406,2014,0.000,,1.420,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,,,,,,,,,,N/A (5),01/01/2014,12/31/2014,78.57,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Outpatient Carecenter,01C0001008,1285690073,Birmingham,AL,35233,2014,0.000,,0.540,,0.000,,0.000,,997.45,,01/01/2014,12/31/2014,Yes,,5409,0,4569,840,0,0,0,0,0,,01/01/2014,12/31/2014,84.46,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Northeast Alabama Eye Surgery Center,01C0001040,1306877261,Gadsden,AL,35901,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,5088,0,5088,0,0,0,0,0,0,,01/01/2014,12/31/2014,,N/A (5),2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Jackson Surgery Center,01C0001053,1336375930,Montgomery,AL,36106,2014,0.000,,0.000,,0.000,,1.144,,998.67,,01/01/2014,12/31/2014,Yes,,9108,6623,2,1882,198,33,0,213,157,,01/01/2014,12/31/2014,70.12,,2014/2015,36.84,,18.11,,01/01/2014,12/31/2014
Surgery Center South,01C0001010,1346349164,Dothan,AL,36301,2014,0.000,,0.147,,0.147,,0.587,,994.82,,01/01/2014,12/31/2014,Yes,,14522,43,13071,7,1334,0,0,61,6,,01/01/2014,12/31/2014,64.91,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
The Surgery Center,01C0001035,1356321293,Oxford,AL,36203,2014,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2014,12/31/2014,Yes,,11337,2121,1447,1576,201,805,0,4691,496,,01/01/2014,12/31/2014,78.53,,2014/2015,6.35,,82.54,,01/01/2014,12/31/2014
"Madison Surgery Center, LLC",01C0001044,1356369755,Madison,AL,35758,2014,0.000,,0.000,,0.000,,0.000,,988.89,,01/01/2014,12/31/2014,Yes,,5236,2451,225,104,4,2,0,2413,37,,01/01/2014,12/31/2014,83.64,,2014/2015,83.82,,62.03,,01/01/2014,12/31/2014
"Montgomery Surgical Center, LTD",01C0001000,1376634683,Montgomery,AL,36093,2014,0.000,,0.000,,0.000,,1.126,,930.74,,01/01/2014,12/31/2014,Yes,,7886,925,2107,2363,44,4,0,1877,566,,01/01/2014,12/31/2014,68.92,,2014/2015,31.25,,81.82,,01/01/2014,12/31/2014
Decatur Surgery Center LP,01C0001018,1386782787,Decatur,AL,35603,2014,0.000,,0.000,,0.000,,0.000,,968.75,,01/01/2014,12/31/2014,Yes,,8617,6704,940,51,0,8,0,914,0,,01/01/2014,12/31/2014,40.00,,2014/2015,100.0,,100.0,,01/01/2014,12/31/2014
The Montgomery Eye Surgery Center,01C0001026,1457331274,Montgomery,AL,36106,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,4165,0,4165,0,0,0,0,0,0,,01/01/2014,12/31/2014,91.30,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Shelby Ambulatory Surgery at The Physicians Center,01C0001046,1538117841,Alabaster,AL,35007,2014,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,9220,4263,1770,331,174,323,656,1000,703,,01/01/2014,12/31/2014,76.52,,2014/2015,62.28,,14.33,,01/01/2014,12/31/2014
"Alabama Digestive Health Endoscopy Center, LLC",01C0001051,1588854772,Birmingham,AL,35209,2014,0.000,,0.000,,0.000,,2.780,,,N/A (1),01/01/2014,12/31/2014,Yes,,8228,8228,0,0,0,0,0,0,0,,01/01/2014,12/31/2014,93.48,,2014/2015,43.30,,34.18,,01/01/2014,12/31/2014
Surgery Center of Cullman LLC,01C0001048,1669481255,Cullman,AL,35055,2014,0.000,,0.000,,0.000,,2.520,,1000.0,,01/01/2014,12/31/2014,Yes,,4893,2780,708,378,23,378,48,516,62,,01/01/2014,12/31/2014,88.16,,2014/2015,40.35,,100.0,,01/01/2014,12/31/2014
Tuscaloosa Surgical Center LP,01C0001017,1679544050,Tuscaloosa,AL,35406,2014,0.000,,0.000,,0.000,,1.128,,995.18,,01/01/2014,12/31/2014,Yes,,6215,805,951,858,80,0,0,2804,717,,01/01/2014,12/31/2014,39.83,,2014/2015,10.71,,7.79,,01/01/2014,12/31/2014
"Vision Correction Center, LLC",01C0001041,1689735250,Tuscaloosa,AL,35406,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,1527,0,1527,0,0,0,0,0,0,,01/01/2014,12/31/2014,55.56,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Dauphin West Surgery Center,01C0001021,1700884608,Mobile,AL,36608,2014,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2014,12/31/2014,Yes,,2838,0,2132,0,0,0,57,0,649,,01/01/2014,12/31/2014,88.46,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Surgicare of Mobile LTD,01C0001009,1720044522,Mobile,AL,36606,2014,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2014,12/31/2014,Yes,,9757,4390,4265,11,46,0,0,516,529,,01/01/2014,12/31/2014,81.19,,2014/2015,81.25,,88.89,,01/01/2014,12/31/2014
"Gardendale Surgical Associates, LLC",01C0001054,1730318353,Gardendale,AL,35071,2014,0.000,,1.484,,0.000,,0.000,,1000.0,,01/01/2014,12/31/2014,Yes,,2485,1746,350,129,0,0,0,257,3,,01/01/2014,12/31/2014,59.04,,2014/2015,75.00,,75.00,,01/01/2014,12/31/2014
The Orthopaedic Center at Springhill,01C0001042,1740288679,Mobile,AL,36608,2014,1.193,,0.597,,0.000,,0.000,,976.00,,01/01/2014,12/31/2014,Yes,,7731,0,0,1498,0,0,0,6233,0,,01/01/2014,12/31/2014,71.54,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Medplex Outpatient Surgery Center LTD,01C0001020,1750499950,Birmingham,AL,35244,2014,0.000,,0.910,,0.000,,0.000,,989.74,,01/01/2014,12/31/2014,Yes,,8693,0,0,834,7,0,0,4682,3170,,01/01/2014,12/31/2014,39.66,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Mobile Surgery Center,01C0001002,1760447866,Mobile,AL,36608,2014,0.000,,0.000,,0.000,,0.000,,991.38,,01/01/2014,12/31/2014,Yes,,15913,0,1524,2825,25,0,0,11539,0,,01/01/2014,12/31/2014,68.04,,2014/2015,,N/A (5),,N/A (5),01/01/2014,12/31/2014
Birmingham Surgery Center,01C0001027,1790756237,Birmingham,AL,35209,2014,0.000,,0.357,,0.000,,0.713,,995.37,,01/01/2014,12/31/2014,Yes,,9930,4988,2114,2347,11,0,0,240,230,,01/01/2014,12/31/2014,69.57,,2014/2015,83.59,,94.53,,01/01/2014,12/31/2014
