Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-2_1-12_Rate_Per_1000,HBIPS-2_1-12_Num,HBIPS-2_1-12_Den,HBIPS-2_1-12_Footnote,HBIPS-2_13-17_Rate_Per_1000,HBIPS-2_13-17_Num,HBIPS-2_13-17_Den,HBIPS-2_13-17_Footnote,HBIPS-2_18-64_Rate_Per_1000,HBIPS-2_18-64_Num,HBIPS-2_18-64_Den,HBIPS-2_18-64_Footnote,HBIPS-2_65_Over_Rate_Per_1000,HBIPS-2_65_Over_Num,HBIPS-2_65_Over_Den,HBIPS-2_65_Over_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-3_1-12_Rate_Per_1000,HBIPS-3_1-12_Num,HBIPS-3_1-12_Den,HBIPS-3_1-12_Footnote,HBIPS-3_13-17_Rate_Per_1000,HBIPS-3_13-17_Num,HBIPS-3_13-17_Den,HBIPS-3_13-17_Footnote,HBIPS-3_18-64_Rate_Per_1000,HBIPS-3_18-64_Num,HBIPS-3_18-64_Den,HBIPS-3_18-64_Footnote,HBIPS-3_65_Over_Rate_Per_1000,HBIPS-3_65_Over_Num,HBIPS-3_65_Over_Den,HBIPS-3_65_Over_Footnote,HBIPS-4_Measure_Description,HBIPS-4_Overall_%_of_Total,HBIPS-4_Overall_Num,HBIPS-4_Overall_Den,HBIPS-4_Overall_Footnote,HBIPS-4_1-12_%_of_Total,HBIPS-4_1-12_Num,HBIPS-4_1-12_Den,HBIPS-4_1-12_Footnote,HBIPS-4_13-17_%_of_Total,HBIPS-4_13-17_Num,HBIPS-4_13-17_Den,HBIPS-4_13-17_Footnote,HBIPS-4_18-64_%_of_Total,HBIPS-4_18-64_Num,HBIPS-4_18-64_Den,HBIPS-4_18-64_Footnote,HBIPS-4_65_Over_%_of_Total,HBIPS-4_65_Over_Num,HBIPS-4_65_Over_Den,HBIPS-4_65_Over_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-5_1-12_%_of_Total,HBIPS-5_1-12_Num,HBIPS-5_1-12_Den,HBIPS-5_1-12_Footnote,HBIPS-5_13-17_%_of_Total,HBIPS-5_13-17_Num,HBIPS-5_13-17_Den,HBIPS-5_13-17_Footnote,HBIPS-5_18-64_%_of_Total,HBIPS-5_18-64_Num,HBIPS-5_18-64_Den,HBIPS-5_18-64_Footnote,HBIPS-5_65_Over_%_of_Total,HBIPS-5_65_Over_Num,HBIPS-5_65_Over_Den,HBIPS-5_65_Over_Footnote,HBIPS-6_Measure_Description,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-6_1-12_%_of_Total,HBIPS-6_1-12_Num,HBIPS-6_1-12_Den,HBIPS-6_1-12_Footnote,HBIPS-6_13-17_%_of_Total,HBIPS-6_13-17_Num,HBIPS-6_13-17_Den,HBIPS-6_13-17_Footnote,HBIPS-6_18-64_%_of_Total,HBIPS-6_18-64_Num,HBIPS-6_18-64_Den,HBIPS-6_18-64_Footnote,HBIPS-6_65_Over_%_of_Total,HBIPS-6_65_Over_Num,HBIPS-6_65_Over_Den,HBIPS-6_65_Over_Footnote,HBIPS-7_Measure_Description,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,HBIPS-7_1-12_%_of_Total,HBIPS-7_1-12_Num,HBIPS-7_1-12_Den,HBIPS-7_1-12_Footnote,HBIPS-7_13-17_%_of_Total,HBIPS-7_13-17_Num,HBIPS-7_13-17_Den,HBIPS-7_13-17_Footnote,HBIPS-7_18-64_%_of_Total,HBIPS-7_18-64_Num,HBIPS-7_18-64_Den,HBIPS-7_18-64_Footnote,HBIPS-7_65_Over_%_of_Total,HBIPS-7_65_Over_Num,HBIPS-7_65_Over_Den,HBIPS-7_65_Over_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","COVINGTON","Hours of physical-restraint use","0.00","0","318","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","67","","0.00","0","251","","Hours of seclusion","0.00","0","318","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","67","","0.00","0","251","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","44.13%","109","247","","Not Available","0","0","7","Not Available","0","0","7","37.31%","25","67","","46.67%","84","180","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","44.13%","109","247","","Not Available","0","0","7","Not Available","0","0","7","37.31%","25","67","","46.67%","84","180","","Alcohol Use Screening","98.11%","312","318","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL","36049","CRENSHAW","Hours of physical-restraint use","13.37","43.01","134","","Not Available","0","0","7","Not Available","0","0","7","13.37","43.01","134","","Not Available","0","0","7","Hours of seclusion","11.92","38.33","134","","Not Available","0","0","7","Not Available","0","0","7","11.92","38.33","134","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications","32.14%","45","140","","Not Available","0","0","7","Not Available","0","0","7","32.14%","45","140","","Not Available","0","0","7","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","45","45","","Not Available","0","0","7","Not Available","0","0","7","100.00%","45","45","","Not Available","0","0","7","Post-discharge continuing care plan created","100.00%","176","176","","Not Available","0","0","7","Not Available","0","0","7","100.00%","176","176","","Not Available","0","0","7","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","176","176","","Not Available","0","0","7","Not Available","0","0","7","100.00%","176","176","","Not Available","0","0","7","Alcohol Use Screening","100.00%","491","491","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","JEFFERSON","Hours of physical-restraint use","0.01","3.33","27593","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","22730","","0.03","3.33","4863","","Hours of seclusion","0.01","3.33","27593","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","22730","","0.03","3.33","4863","","Patients discharged on multiple antipsychotic medications","27.98%","54","193","","Not Available","0","0","7","Not Available","0","0","7","37.04%","20","54","","24.46%","34","139","","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00%","0","43","","Not Available","0","0","7","Not Available","0","0","7","0.00%","0","19","","0.00%","0","24","","Post-discharge continuing care plan created","88.11%","215","244","","Not Available","0","0","7","Not Available","0","0","7","86.36%","57","66","","88.76%","158","178","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","65.16%","159","244","","Not Available","0","0","7","Not Available","0","0","7","65.15%","43","66","","65.17%","116","178","","Alcohol Use Screening","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DE KALB","Hours of physical-restraint use","0.00","0","5428","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1153","","0.00","0","4275","","Hours of seclusion","0.00","0","5428","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1153","","0.00","0","4275","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","0.00%","0","47","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","100.00%","304","304","","Not Available","0","0","7","Not Available","0","0","7","100.00%","64","64","","100.00%","240","240","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","100.00%","304","304","","Not Available","0","0","7","Not Available","0","0","7","100.00%","64","64","","100.00%","240","240","","Alcohol Use Screening","100.00%","237","237","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","SHELBY","Hours of physical-restraint use","0.00","0","9093","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","3461","","0.00","0","5632","","Hours of seclusion","0.00","0","9093","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","3461","","0.00","0","5632","","Patients discharged on multiple antipsychotic medications","7.17%","19","265","","Not Available","0","0","7","Not Available","0","0","7","9.09%","11","121","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","66.67%","12","18","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","59.72%","255","427","","Not Available","0","0","7","Not Available","0","0","7","61.62%","114","185","","58.26%","141","242","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","58.78%","251","427","","Not Available","0","0","7","Not Available","0","0","7","60.54%","112","185","","57.44%","139","242","","Alcohol Use Screening","96.46%","191","198","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","DALE","Hours of physical-restraint use","0.00","0","3028","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","1519","","0.00","0","1509","","Hours of seclusion","0.02","1.2","3028","","Not Available","0","0","7","Not Available","0","0","7","0.03","1.2","1519","","0.00","0","1509","","Patients discharged on multiple antipsychotic medications","25.47%","54","212","","Not Available","0","0","7","Not Available","0","0","7","29.17%","35","120","","20.65%","19","92","","Patients discharged on multiple antipsychotic medications with appropriate justification","91.49%","43","47","","Not Available","0","0","7","Not Available","0","0","7","96.77%","30","31","","81.25%","13","16","","Post-discharge continuing care plan created","93.83%","213","227","","Not Available","0","0","7","Not Available","0","0","7","92.06%","116","126","","96.04%","97","101","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.95%","211","227","","Not Available","0","0","7","Not Available","0","0","7","92.06%","116","126","","94.06%","95","101","","Alcohol Use Screening","94.91%","205","216","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","MONTGOMERY","Hours of physical-restraint use","0.19","59.06","12878","","Not Available","0","0","7","Not Available","0","0","7","0.26","58.46","9484","","0.01",".6","3394","","Hours of seclusion","0.11","33.26","12878","","Not Available","0","0","7","Not Available","0","0","7","0.15","33.26","9484","","0.00","0","3394","","Patients discharged on multiple antipsychotic medications","8.66%","53","612","","Not Available","0","0","7","Not Available","0","0","7","9.42%","49","520","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","68.00%","34","50","","Not Available","0","0","7","Not Available","0","0","7","67.39%","31","46","","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","90.63%","1006","1110","","Not Available","0","0","7","Not Available","0","0","7","91.40%","872","954","","85.90%","134","156","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","90.00%","999","1110","","Not Available","0","0","7","Not Available","0","0","7","90.78%","866","954","","85.26%","133","156","","Alcohol Use Screening","97.67%","839","859","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","JEFFERSON","Hours of physical-restraint use","1.26","918.01","30314","","5.78","66","476","","4.19","420.26","4181","","0.78","430.62","23130","","0.02","1.13","2527","","Hours of seclusion","0.98","710.5","30314","","2.16","24.7","476","","1.08","108.34","4181","","1.04","576.88","23130","","0.01",".58","2527","","Patients discharged on multiple antipsychotic medications","9.30%","37","398","","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","13.15%","28","213","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","38.71%","12","31","","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","39.09%","310","793","","Not Available","Not Available","Not Available","1","49.15%","87","177","","35.85%","152","424","","39.35%","61","155","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","2.27%","18","793","","Not Available","Not Available","Not Available","1","6.21%","11","177","","Not Available","Not Available","Not Available","1","0.00%","0","155","","Alcohol Use Screening","91.46%","364","398","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","ELMORE","Hours of physical-restraint use","0.00","0","2320","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","383","","0.00","0","1937","","Hours of seclusion","0.00","0","2320","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","383","","0.00","0","1937","","Patients discharged on multiple antipsychotic medications","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","0.00%","0","23","","Not Available","Not Available","Not Available","1","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","27.44%","45","164","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","26.95%","38","141","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","27.44%","45","164","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","26.95%","38","141","","Alcohol Use Screening","67.20%","127","189","","Assessment of Patient Experience of Care","Yes","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","MADISON","Hours of physical-restraint use","0.00","0","6678","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","4868","","0.00","0","1810","","Hours of seclusion","0.00","0","6678","","Not Available","0","0","7","Not Available","0","0","7","0.00","0","4868","","0.00","0","1810","","Patients discharged on multiple antipsychotic medications","6.90%","16","232","","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","10.91%","12","110","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Not Available","0","0","7","Not Available","0","0","7","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Post-discharge continuing care plan created","41.69%","153","367","","Not Available","0","0","7","Not Available","0","0","7","53.48%","123","230","","21.90%","30","137","","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","38.42%","141","367","","Not Available","0","0","7","Not Available","0","0","7","50.00%","115","230","","18.98%","26","137","","Alcohol Use Screening","62.30%","190","305","","Assessment of Patient Experience of Care","No","","Highest level typical use of an EHR system","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","4","Not Available","Not Available","Not Available","4","Not Available","Not Available"
