"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.561","","01/01/2015","06/30/2015"
"AL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.802","","01/01/2015","06/30/2015"
"AR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.656","","01/01/2015","06/30/2015"
"AS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"AZ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.527","","01/01/2015","06/30/2015"
"CA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.525","","01/01/2015","06/30/2015"
"CO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.514","","01/01/2015","06/30/2015"
"CT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.722","","01/01/2015","06/30/2015"
"DC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.750","","01/01/2015","06/30/2015"
"DE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.380","","01/01/2015","06/30/2015"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.595","","01/01/2015","06/30/2015"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.623","","01/01/2015","06/30/2015"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.170","","01/01/2015","06/30/2015"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.529","","01/01/2015","06/30/2015"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.316","","01/01/2015","06/30/2015"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.484","","01/01/2015","06/30/2015"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.585","","01/01/2015","06/30/2015"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.458","","01/01/2015","06/30/2015"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.660","","01/01/2015","06/30/2015"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.797","","01/01/2015","06/30/2015"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.417","","01/01/2015","06/30/2015"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.579","","01/01/2015","06/30/2015"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.536","","01/01/2015","06/30/2015"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.509","","01/01/2015","06/30/2015"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.468","","01/01/2015","06/30/2015"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.545","","01/01/2015","06/30/2015"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","06/30/2015"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.696","","01/01/2015","06/30/2015"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.407","","01/01/2015","06/30/2015"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.571","","01/01/2015","06/30/2015"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.559","","01/01/2015","06/30/2015"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.667","","01/01/2015","06/30/2015"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.749","","01/01/2015","06/30/2015"
