"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","123","","07/01/2014","06/30/2015"
"AL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","73","","07/01/2014","06/30/2015"
"AR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","07/01/2014","06/30/2015"
"AS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"AZ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","55","","07/01/2014","06/30/2015"
"CA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","68","","07/01/2014","06/30/2015"
"CO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","48","","07/01/2014","06/30/2015"
"CT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","58","","07/01/2014","06/30/2015"
"DC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","114","","07/01/2014","06/30/2015"
"DE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","07/01/2014","06/30/2015"
"FL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","54","","07/01/2014","06/30/2015"
"GA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","65","","07/01/2014","06/30/2015"
"GU","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"HI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","07/01/2014","06/30/2015"
"IA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","60","","07/01/2014","06/30/2015"
"ID","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","66","","07/01/2014","06/30/2015"
"IL","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","07/01/2014","06/30/2015"
"IN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","41","","07/01/2014","06/30/2015"
"KS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","07/01/2014","06/30/2015"
"KY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","56","","07/01/2014","06/30/2015"
"LA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","78","","07/01/2014","06/30/2015"
"MA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","07/01/2014","06/30/2015"
"MD","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","66","","07/01/2014","06/30/2015"
"ME","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","37","","07/01/2014","06/30/2015"
"MI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","51","","07/01/2014","06/30/2015"
"MN","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","07/01/2014","06/30/2015"
"MO","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","59","","07/01/2014","06/30/2015"
"MP","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"MS","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","07/01/2014","06/30/2015"
"MT","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","92","","07/01/2014","06/30/2015"
"NC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","45","","07/01/2014","06/30/2015"
"ND","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","111","","07/01/2014","06/30/2015"
"NE","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","69","","07/01/2014","06/30/2015"
"NH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","42","","07/01/2014","06/30/2015"
"NJ","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","73","","07/01/2014","06/30/2015"
"NM","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","112","","07/01/2014","06/30/2015"
"NV","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","59","","07/01/2014","06/30/2015"
"NY","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","72","","07/01/2014","06/30/2015"
"OH","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","57","","07/01/2014","06/30/2015"
"OK","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","67","","07/01/2014","06/30/2015"
"OR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","50","","07/01/2014","06/30/2015"
"PA","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","07/01/2014","06/30/2015"
"PR","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","Not Available","5 - Results are not available for this reporting period.","07/01/2014","06/30/2015"
"RI","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","64","","07/01/2014","06/30/2015"
"SC","Heart Attack or Chest Pain","Median Time to Transfer to Another Facility for Acute Coronary Intervention","OP_3b","53","","07/01/2014","06/30/2015"
